,FIPS,County,State,Date,Confirmed,Deaths,Recovered,Location
25445,00000,Unassigned,New York,22-03-2020,23,38,0,"Unassigned, New York, US"
25478,00000,Unassigned,Washington,22-03-2020,164,0,0,"Unassigned, Washington, US"
25584,00000,Unassigned,Illinois,22-03-2020,2,3,0,"Unassigned, Illinois, US"
25674,00000,Unassigned,Florida,22-03-2020,1,0,0,"Unassigned, Florida, US"
25676,00000,Desoto,Florida,22-03-2020,1,0,0,"Desoto, Florida, US"
25680,00000,Unassigned,Louisiana,22-03-2020,50,0,0,"Unassigned, Louisiana, US"
24430,00000,Out of MI,Michigan,23-03-2020,4,0,0,"Out of MI,Michigan,US"
25110,00000,Unassigned,Florida,23-03-2020,0,1,0,"Unassigned, Florida, US"
25112,00000,Unassigned,Illinois,23-03-2020,63,0,0,"Unassigned, Illinois, US"
25115,00000,Unassigned,Louisiana,23-03-2020,11,0,0,"Unassigned, Louisiana, US"
25124,00000,Unassigned,New York,23-03-2020,107,36,0,"Unassigned, New York, US"
25128,00000,Unassigned,Washington,23-03-2020,145,0,0,"Unassigned, Washington, US"
21252,00000,Out of MI,Michigan,24-03-2020,6,0,0,"Out of MI,Michigan,US"
21933,00000,Unassigned,Florida,24-03-2020,0,1,0,"Unassigned, Florida, US"
21936,00000,Unassigned,Illinois,24-03-2020,0,4,0,"Unassigned, Illinois, US"
21939,00000,Unassigned,Louisiana,24-03-2020,12,1,0,"Unassigned, Louisiana, US"
21945,00000,Unassigned,New York,24-03-2020,0,39,0,"Unassigned, New York, US"
21949,00000,Unassigned,Washington,24-03-2020,112,0,0,"Unassigned, Washington, US"
18075,00000,Out of MI,Michigan,25-03-2020,7,0,0,"Out of MI,Michigan,US"
18759,00000,Unassigned,Illinois,25-03-2020,2,0,0,"Unassigned, Illinois, US"
18761,00000,Unassigned,Louisiana,25-03-2020,11,1,0,"Unassigned, Louisiana, US"
18767,00000,Unassigned,New York,25-03-2020,0,31,0,"Unassigned, New York, US"
18772,00000,Unassigned,Washington,25-03-2020,51,0,0,"Unassigned, Washington, US"
14900,00000,Out of MI,Michigan,26-03-2020,7,0,0,"Out of MI,Michigan,US"
15584,00000,Unassigned,Illinois,26-03-2020,668,0,0,"Unassigned, Illinois, US"
15586,00000,Unassigned,Louisiana,26-03-2020,13,1,0,"Unassigned, Louisiana, US"
15591,00000,Unassigned,New York,26-03-2020,0,45,0,"Unassigned, New York, US"
15595,00000,Unassigned,Washington,26-03-2020,69,0,0,"Unassigned, Washington, US"
11719,00000,Out of MI,Michigan,27-03-2020,8,0,0,"Out of MI,Michigan,US"
12400,00000,Unassigned,California,27-03-2020,12,0,0,"Unassigned, California, US"
12406,00000,Unassigned,Louisiana,27-03-2020,16,1,0,"Unassigned, Louisiana, US"
12416,00000,Unassigned,New York,27-03-2020,0,87,0,"Unassigned, New York, US"
12420,00000,Unassigned,Washington,27-03-2020,67,0,0,"Unassigned, Washington, US"
8541,00000,Out of MI,Michigan,28-03-2020,15,0,0,"Out of MI,Michigan,US"
9223,00000,Unassigned,Florida,28-03-2020,0,8,0,"Unassigned, Florida, US"
9226,00000,Unassigned,Illinois,28-03-2020,8,0,0,"Unassigned, Illinois, US"
9228,00000,Unassigned,Louisiana,28-03-2020,9,1,0,"Unassigned, Louisiana, US"
9232,00000,Unassigned,Michigan,28-03-2020,47,0,0,"Unassigned,Michigan,US"
9235,00000,Unassigned,New York,28-03-2020,0,109,0,"Unassigned, New York, US"
9239,00000,Unassigned,Washington,28-03-2020,0,0,0,"Unassigned, Washington, US"
2177,00000,Out of MI,Michigan,29-03-2020,18,0,0,"Out of MI,Michigan,US"
2858,00000,Unassigned,California,29-03-2020,0,1,0,"Unassigned, California, US"
2860,00000,Unassigned,Florida,29-03-2020,0,2,0,"Unassigned, Florida, US"
2863,00000,Unassigned,Illinois,29-03-2020,8,0,0,"Unassigned, Illinois, US"
2865,00000,Unassigned,Louisiana,29-03-2020,8,0,0,"Unassigned, Louisiana, US"
2869,00000,Unassigned,Michigan,29-03-2020,77,0,0,"Unassigned,Michigan,US"
2874,00000,Unassigned,New York,29-03-2020,0,159,0,"Unassigned, New York, US"
2879,00000,Unassigned,Washington,29-03-2020,125,0,0,"Unassigned, Washington, US"
5359,00000,Out of MI,Michigan,29-03-2020,18,0,0,"Out of MI,Michigan,US"
6040,00000,Unassigned,California,29-03-2020,0,1,0,"Unassigned, California, US"
6042,00000,Unassigned,Florida,29-03-2020,0,2,0,"Unassigned, Florida, US"
6045,00000,Unassigned,Illinois,29-03-2020,8,0,0,"Unassigned, Illinois, US"
6047,00000,Unassigned,Louisiana,29-03-2020,8,0,0,"Unassigned, Louisiana, US"
6051,00000,Unassigned,Michigan,29-03-2020,77,0,0,"Unassigned,Michigan,US"
6056,00000,Unassigned,New York,29-03-2020,0,159,0,"Unassigned, New York, US"
6061,00000,Unassigned,Washington,29-03-2020,125,0,0,"Unassigned, Washington, US"
25534,06001,Alameda,California,22-03-2020,71,0,0,"Alameda, California, US"
22277,06001,Alameda,California,23-03-2020,118,1,0,"Alameda, California, US"
19099,06001,Alameda,California,24-03-2020,135,2,0,"Alameda, California, US"
15922,06001,Alameda,California,25-03-2020,135,2,0,"Alameda, California, US"
12748,06001,Alameda,California,26-03-2020,178,4,0,"Alameda, California, US"
9567,06001,Alameda,California,27-03-2020,220,4,0,"Alameda, California, US"
6389,06001,Alameda,California,28-03-2020,220,4,0,"Alameda, California, US"
25,06001,Alameda,California,29-03-2020,270,6,0,"Alameda, California, US"
3207,06001,Alameda,California,29-03-2020,270,6,0,"Alameda, California, US"
26715,06003,Alpine,California,22-03-2020,0,0,0,"Alpine, California, US"
22305,06003,Alpine,California,23-03-2020,0,0,0,"Alpine, California, US"
19127,06003,Alpine,California,24-03-2020,0,0,0,"Alpine, California, US"
15950,06003,Alpine,California,25-03-2020,0,0,0,"Alpine, California, US"
12776,06003,Alpine,California,26-03-2020,0,0,0,"Alpine, California, US"
9595,06003,Alpine,California,27-03-2020,0,0,0,"Alpine, California, US"
6417,06003,Alpine,California,28-03-2020,0,0,0,"Alpine, California, US"
53,06003,Alpine,California,29-03-2020,0,0,0,"Alpine, California, US"
3235,06003,Alpine,California,29-03-2020,0,0,0,"Alpine, California, US"
25564,06005,Amador,California,22-03-2020,1,0,0,"Amador, California, US"
22306,06005,Amador,California,23-03-2020,1,0,0,"Amador, California, US"
19128,06005,Amador,California,24-03-2020,2,0,0,"Amador, California, US"
15951,06005,Amador,California,25-03-2020,2,0,0,"Amador, California, US"
12777,06005,Amador,California,26-03-2020,2,0,0,"Amador, California, US"
9596,06005,Amador,California,27-03-2020,2,0,0,"Amador, California, US"
6418,06005,Amador,California,28-03-2020,2,0,0,"Amador, California, US"
54,06005,Amador,California,29-03-2020,2,0,0,"Amador, California, US"
3236,06005,Amador,California,29-03-2020,2,0,0,"Amador, California, US"
25566,06007,Butte,California,22-03-2020,1,0,0,"Butte, California, US"
22582,06007,Butte,California,23-03-2020,2,0,0,"Butte, California, US"
19404,06007,Butte,California,24-03-2020,2,0,0,"Butte, California, US"
16227,06007,Butte,California,25-03-2020,4,0,0,"Butte, California, US"
13053,06007,Butte,California,26-03-2020,5,0,0,"Butte, California, US"
9872,06007,Butte,California,27-03-2020,5,0,0,"Butte, California, US"
6694,06007,Butte,California,28-03-2020,5,0,0,"Butte, California, US"
330,06007,Butte,California,29-03-2020,5,0,0,"Butte, California, US"
3512,06007,Butte,California,29-03-2020,5,0,0,"Butte, California, US"
25558,06009,Calaveras,California,22-03-2020,2,0,0,"Calaveras, California, US"
22591,06009,Calaveras,California,23-03-2020,2,0,0,"Calaveras, California, US"
19413,06009,Calaveras,California,24-03-2020,2,0,0,"Calaveras, California, US"
