,FIPS,County,State,Date,Confirmed,Deaths,Recovered,Location
25445,00000,Unassigned,New York,22-03-2020,23,38,0,"Unassigned, New York, US"
25478,00000,Unassigned,Washington,22-03-2020,164,0,0,"Unassigned, Washington, US"
25507,00000,Unassigned,New Jersey,22-03-2020,221,4,0,"Unassigned, New Jersey, US"
25584,00000,Unassigned,Illinois,22-03-2020,2,3,0,"Unassigned, Illinois, US"
25674,00000,Unassigned,Florida,22-03-2020,1,0,0,"Unassigned, Florida, US"
25676,00000,Desoto,Florida,22-03-2020,1,0,0,"Desoto, Florida, US"
25680,00000,Unassigned,Louisiana,22-03-2020,50,0,0,"Unassigned, Louisiana, US"
25723,00000,Unassigned,Massachusetts,22-03-2020,24,3,0,"Unassigned, Massachusetts, US"
25727,00000,Brockton,Massachusetts,22-03-2020,6,0,0,"Brockton, Massachusetts, US"
25729,00000,Dukes and Nantucket,Massachusetts,22-03-2020,1,0,0,"Dukes and Nantucket, Massachusetts, US"
25794,00000,Unassigned,Georgia,22-03-2020,36,10,0,"Unassigned, Georgia, US"
25876,00000,Unassigned,Colorado,22-03-2020,1,0,0,"Unassigned, Colorado, US"
25914,00000,Out-of-state,Tennessee,22-03-2020,82,0,0,"Out-of-state, Tennessee, US"
25917,00000,Unknown,Tennessee,22-03-2020,30,0,0,"Unknown, Tennessee, US"
26265,00000,Unassigned,Nevada,22-03-2020,36,0,0,"Unassigned, Nevada, US"
26303,00000,LeSeur,Minnesota,22-03-2020,1,0,0,"LeSeur, Minnesota, US"
26304,00000,Unassigned,Arkansas,22-03-2020,121,0,0,"Unassigned, Arkansas, US"
26381,00000,Unassigned,Kentucky,22-03-2020,39,0,0,"Unassigned, Kentucky, US"
26444,00000,Unassigned,Maine,22-03-2020,8,0,0,"Unassigned, Maine, US"
26455,00000,Unassigned,Rhode Island,22-03-2020,8,0,0,"Unassigned, Rhode Island, US"
26464,00000,Nashua,New Hampshire,22-03-2020,1,0,0,"Nashua, New Hampshire, US"
26502,00000,Dona Ana,New Mexico,22-03-2020,2,0,0,"Dona Ana, New Mexico, US"
26546,00000,Unassigned,Montana,22-03-2020,1,0,0,"Unassigned, Montana, US"
26567,00000,None,Puerto Rico,22-03-2020,23,1,0,"Puerto Rico, US"
26579,00000,Soldotna,Alaska,22-03-2020,1,0,0,"Soldotna, Alaska, US"
26580,00000,Sterling,Alaska,22-03-2020,1,0,0,"Sterling, Alaska, US"
26590,00000,Unassigned,Wuhan Evacuee,22-03-2020,4,0,0,"Unassigned, Wuhan Evacuee, US"
23077,00000,Dukes and Nantucket,Massachusetts,23-03-2020,1,0,0,"Dukes and Nantucket,Massachusetts,US"
23725,00000,Kansas City,Missouri,23-03-2020,17,0,0,"Kansas City,Missouri,US"
24430,00000,Out of MI,Michigan,23-03-2020,4,0,0,"Out of MI,Michigan,US"
24431,00000,Out of TN,Tennessee,23-03-2020,89,0,0,"Out of TN,Tennessee,US"
24432,00000,Out of UT,Utah,23-03-2020,13,0,0,"Out of UT,Utah,US"
25108,00000,Unassigned,Arkansas,23-03-2020,3,0,0,"Unassigned, Arkansas, US"
25109,00000,Unassigned,Colorado,23-03-2020,1,0,0,"Unassigned, Colorado, US"
25110,00000,Unassigned,Florida,23-03-2020,0,1,0,"Unassigned, Florida, US"
25111,00000,Unassigned,Georgia,23-03-2020,45,10,0,"Unassigned, Georgia, US"
25112,00000,Unassigned,Illinois,23-03-2020,63,0,0,"Unassigned, Illinois, US"
25113,00000,Unassigned,Indiana,23-03-2020,56,0,0,"Unassigned, Indiana, US"
25114,00000,Unassigned,Kentucky,23-03-2020,15,0,0,"Unassigned, Kentucky, US"
25115,00000,Unassigned,Louisiana,23-03-2020,11,0,0,"Unassigned, Louisiana, US"
25116,00000,Unassigned,Maine,23-03-2020,5,0,0,"Unassigned, Maine, US"
25117,00000,Unassigned,Massachusetts,23-03-2020,53,7,0,"Unassigned, Massachusetts, US"
25118,00000,Unassigned,Minnesota,23-03-2020,1,0,0,"Unassigned, Minnesota, US"
25119,00000,Unassigned,Missouri,23-03-2020,4,0,0,"Unassigned, Missouri, US"
25120,00000,Unassigned,Montana,23-03-2020,1,0,0,"Unassigned, Montana, US"
25121,00000,Unassigned,Nevada,23-03-2020,89,0,0,"Unassigned, Nevada, US"
25122,00000,Unassigned,New Hampshire,23-03-2020,23,0,0,"Unassigned, New Hampshire, US"
25123,00000,Unassigned,New Jersey,23-03-2020,419,9,0,"Unassigned, New Jersey, US"
25124,00000,Unassigned,New York,23-03-2020,107,36,0,"Unassigned, New York, US"
25125,00000,Unassigned,Rhode Island,23-03-2020,5,0,0,"Unassigned, Rhode Island, US"
25126,00000,Unassigned,Tennessee,23-03-2020,54,0,0,"Unassigned, Tennessee, US"
25127,00000,Unassigned,Vermont,23-03-2020,0,3,0,"Unassigned, Vermont, US"
25128,00000,Unassigned,Washington,23-03-2020,145,0,0,"Unassigned, Washington, US"
25129,00000,Unassigned,Wuhan Evacuee,23-03-2020,4,0,0,"Unassigned, Wuhan Evacuee, US"
25429,00000,None,Puerto Rico,23-03-2020,31,2,0,"Puerto Rico, US"
19899,00000,Dukes and Nantucket,Massachusetts,24-03-2020,2,0,0,"Dukes and Nantucket,Massachusetts,US"
20547,00000,Kansas City,Missouri,24-03-2020,21,0,0,"Kansas City,Missouri,US"
21252,00000,Out of MI,Michigan,24-03-2020,6,0,0,"Out of MI,Michigan,US"
21253,00000,Out of TN,Tennessee,24-03-2020,95,0,0,"Out of TN,Tennessee,US"
21254,00000,Out of UT,Utah,24-03-2020,13,0,0,"Out of UT,Utah,US"
21930,00000,Unassigned,Arizona,24-03-2020,0,2,0,"Unassigned, Arizona, US"
21931,00000,Unassigned,Arkansas,24-03-2020,13,1,0,"Unassigned, Arkansas, US"
21932,00000,Unassigned,Colorado,24-03-2020,5,0,0,"Unassigned, Colorado, US"
21933,00000,Unassigned,Florida,24-03-2020,0,1,0,"Unassigned, Florida, US"
21934,00000,Unassigned,Georgia,24-03-2020,81,17,0,"Unassigned, Georgia, US"
21935,00000,Unassigned,Hawaii,24-03-2020,20,0,0,"Unassigned, Hawaii, US"
21936,00000,Unassigned,Illinois,24-03-2020,0,4,0,"Unassigned, Illinois, US"
21937,00000,Unassigned,Iowa,24-03-2020,2,0,0,"Unassigned, Iowa, US"
21938,00000,Unassigned,Kentucky,24-03-2020,46,0,0,"Unassigned, Kentucky, US"
21939,00000,Unassigned,Louisiana,24-03-2020,12,1,0,"Unassigned, Louisiana, US"
21940,00000,Unassigned,Massachusetts,24-03-2020,85,9,0,"Unassigned, Massachusetts, US"
21941,00000,Unassigned,Missouri,24-03-2020,6,0,0,"Unassigned, Missouri, US"
21942,00000,Unassigned,Montana,24-03-2020,6,0,0,"Unassigned, Montana, US"
21943,00000,Unassigned,Nevada,24-03-2020,15,0,0,"Unassigned, Nevada, US"
21944,00000,Unassigned,New Jersey,24-03-2020,645,26,0,"Unassigned, New Jersey, US"
21945,00000,Unassigned,New York,24-03-2020,0,39,0,"Unassigned, New York, US"
21946,00000,Unassigned,Rhode Island,24-03-2020,23,0,0,"Unassigned, Rhode Island, US"
21947,00000,Unassigned,Tennessee,24-03-2020,38,0,0,"Unassigned, Tennessee, US"
21948,00000,Unassigned,Vermont,24-03-2020,0,2,0,"Unassigned, Vermont, US"
21949,00000,Unassigned,Washington,24-03-2020,112,0,0,"Unassigned, Washington, US"
21950,00000,Unassigned,Wuhan Evacuee,24-03-2020,4,0,0,"Unassigned, Wuhan Evacuee, US"
22249,00000,None,Puerto Rico,24-03-2020,39,2,0,"Puerto Rico, US"
22250,00000,None,Recovered,24-03-2020,0,0,348,"Recovered, US"
16722,00000,Dukes and Nantucket,Massachusetts,25-03-2020,3,0,0,"Dukes and Nantucket,Massachusetts,US"
